iter	Passed	Remaining
287	96228	237899
288	96793	238131
289	97310	238242
290	97894	238512
291	98511	238857
292	99014	238918
293	99528	239003
294	100051	239107
295	100422	238842
296	100757	238493
297	101104	238172
298	101471	237899
299	101803	237542
300	102136	237186
301	102453	236795
302	102780	236429
303	103049	235928
304	103372	235554
305	103679	235142
306	103990	234741
307	104291	234316
308	104627	233973
309	104940	233577
310	105302	233290
311	105641	232953
312	105963	232577
313	106256	232139
314	106567	231741
315	106865	231316
316	107182	230933
317	107497	230544
318	107829	230194
319	108321	230183
320	108816	230176
321	109179	229887
322	109541	229595
323	109857	229209
324	110164	228802
325	110486	228428
326	110825	228089
327	111176	227775
328	111530	227468
329	111906	227205
330	112393	227164
331	112808	226976
332	113112	226564
333	113421	226164
334	113746	225794
335	114036	225357
336	114338	224945
337	114627	224506
338	114908	224054
339	115247	223714
340	115581	223367
341	115902	222994
342	116227	222627
343	116593	222341
344	116908	221956
345	117217	221561
346	117553	221216
347	117888	220871
348	118214	220509
349	118557	220177
350	118905	219857
351	119259	219546
352	119598	219206
353	119930	218856
354	120254	218490
355	120583	218133
356	120932	217814
357	121231	217404
358	121521	216978
359	121850	216622
360	122173	216257
361	122499	215896
362	122783	215463
363	123067	215030
364	123365	214622
365	123683	214249
366	123981	213842
367	124326	213518
368	124593	213057
369	124890	212652
370	125221	212302
371	125534	211924
372	125874	211591
373	126193	211222
374	126495	210826
375	126830	210484
376	127142	210105
377	127438	209700
378	127745	209313
379	128065	208948
380	128411	208626
381	128759	208306
382	129136	208034
383	129468	207688
384	129792	207330
385	130128	206991
386	130454	206636
387	130776	206276
388	131103	205924
389	131410	205539
390	131697	205124
391	132002	204738
392	132299	204340
393	132613	203969
394	132923	203591
395	133204	203170
396	133512	202791
397	133795	202374
